"","event_agediff","Estimate","lower","upper","disease_endpoint","model","N_total","N_male","N_female"
"1",0.0361661170690519,3.63117854744686,2.03909358236504,6.46633276543647,"Myocardial infarction","BMR",230606,103594,127012
"2",0.0695925156167848,3.17945428359073,2.05989773462326,4.90749097468778,"Myocardial infarction","BMR",230606,103594,127012
"3",0.103018914164518,2.97524680417135,2.05782507611388,4.30167444671666,"Myocardial infarction","BMR",230606,103594,127012
"4",0.136445312712251,2.85566491094265,2.05104161041779,3.97594180545561,"Myocardial infarction","BMR",230606,103594,127012
"5",0.169871711259984,2.77672961102498,2.04401991077001,3.77209013088252,"Myocardial infarction","BMR",230606,103594,127012
"6",0.203298109807717,2.72091196929436,2.03812846844668,3.63243144839227,"Myocardial infarction","BMR",230606,103594,127012
"7",0.23672450835545,2.67966934846176,2.03374856651559,3.53073528129781,"Myocardial infarction","BMR",230606,103594,127012
"8",0.270150906903182,2.64828033456874,2.03090401272453,3.45333343502276,"Myocardial infarction","BMR",230606,103594,127012
"9",0.303577305450915,2.62389844342072,2.02948767129457,3.39240446678544,"Myocardial infarction","BMR",230606,103594,127012
"10",0.337003703998648,2.60469426280368,2.02935107491037,3.34315352654399,"Myocardial infarction","BMR",230606,103594,127012
"11",0.370430102546381,2.58943287182985,2.0303410835602,3.30248087476783,"Myocardial infarction","BMR",230606,103594,127012
"12",0.403856501094114,2.57724755056874,2.03231444616848,3.26829588277302,"Myocardial infarction","BMR",230606,103594,127012
"13",0.437282899641847,2.56751042790727,2.03514277816279,3.23913873176189,"Myocardial infarction","BMR",230606,103594,127012
"14",0.47070929818958,2.55975455665203,2.03871336592805,3.2139600886553,"Myocardial infarction","BMR",230606,103594,127012
"15",0.504135696737313,2.55362489418968,2.04292822653035,3.19198688213357,"Myocardial infarction","BMR",230606,103594,127012
"16",0.537562095285046,2.548846327761,2.04770253308927,3.17263738143625,"Myocardial infarction","BMR",230606,103594,127012
"17",0.570988493832779,2.54520216417313,2.05296290837414,3.15546570767903,"Myocardial infarction","BMR",230606,103594,127012
"18",0.604414892380512,2.54251927038607,2.05864580776356,3.14012454979189,"Myocardial infarction","BMR",230606,103594,127012
"19",0.637841290928245,2.54065756573493,2.06469607085862,3.12633949249577,"Myocardial infarction","BMR",230606,103594,127012
"20",0.671267689475978,2.53950244108741,2.07106566584927,3.11389095702303,"Myocardial infarction","BMR",230606,103594,127012
"21",0.704694088023711,2.53895918737647,2.07771261634363,3.10260124737926,"Myocardial infarction","BMR",230606,103594,127012
"22",0.738120486571444,2.53894883723563,2.08460009467345,3.09232510090141,"Myocardial infarction","BMR",230606,103594,127012
"23",0.771546885119176,2.53940501343782,2.09169565482709,3.08294268690165,"Myocardial infarction","BMR",230606,103594,127012
"24",0.80497328366691,2.54027151126898,2.09897059094068,3.07435434246499,"Myocardial infarction","BMR",230606,103594,127012
"25",0.838399682214642,2.54150041925752,2.10639939280814,3.06647656809047,"Myocardial infarction","BMR",230606,103594,127012
"26",0.871826080762375,2.54305064598749,2.11395929208741,3.0592389419531,"Myocardial infarction","BMR",230606,103594,127012
"27",0.905252479310108,2.54488674964069,2.1216298745119,3.05258171856519,"Myocardial infarction","BMR",230606,103594,127012
"28",0.938678877857841,2.54697800347235,2.12939275564579,3.04645393996591,"Myocardial infarction","BMR",230606,103594,127012
"29",0.972105276405574,2.54929764003316,2.13723130304533,3.04081193655471,"Myocardial infarction","BMR",230606,103594,127012
"30",1.00553167495331,2.55182223835374,2.1451304022432,3.03561812808545,"Myocardial infarction","BMR",230606,103594,127012
"31",1.03895807350104,2.55453122038324,2.1530762558,3.03084005424045,"Myocardial infarction","BMR",230606,103594,127012
"32",1.07238447204877,2.55740643684081,2.16105621125286,3.02644958938995,"Myocardial infarction","BMR",230606,103594,127012
"33",1.10581087059651,2.56043182299293,2.16905861508386,3.02242229629256,"Myocardial infarction","BMR",230606,103594,127012
"34",1.13923726914424,2.56359311201827,2.17707268725212,3.01873689494614,"Myocardial infarction","BMR",230606,103594,127012
"35",1.17266366769197,2.56687759376325,2.18508841197537,3.01537482202258,"Myocardial infarction","BMR",230606,103594,127012
"36",1.2060900662397,2.57027391202156,2.19309644508656,3.01231986291321,"Myocardial infarction","BMR",230606,103594,127012
"37",1.23951646478744,2.57377189176865,2.20108803350229,3.00955784140901,"Myocardial infarction","BMR",230606,103594,127012
"38",1.27294286333517,2.57736239278107,2.20905494612591,3.00707635877135,"Myocardial infarction","BMR",230606,103594,127012
"39",1.3063692618829,2.58103718490198,2.21698941612656,3.00486457056971,"Myocardial infarction","BMR",230606,103594,127012
"40",1.33979566043064,2.5847888392101,2.22488408655544,3.0029129983346,"Myocardial infarction","BMR",230606,103594,127012
"41",1.37322205897837,2.58861063668746,2.23273197089878,3.00121336358795,"Myocardial infarction","BMR",230606,103594,127012
"42",1.4066484575261,2.59249648670442,2.24052641276424,2.99975844751711,"Myocardial infarction","BMR",230606,103594,127012
"43",1.44007485607384,2.59644085826888,2.24826105629392,2.99854196718636,"Myocardial infarction","BMR",230606,103594,127012
"44",1.47350125462157,2.60043871874991,2.25592981927107,2.99755846667192,"Myocardial infarction","BMR",230606,103594,127012
"45",1.5069276531693,2.60448548187262,2.26352687270335,2.99680322203722,"Myocardial infarction","BMR",230606,103594,127012
"46",1.54035405171703,2.60857695982533,2.27104662023725,2.99627215694088,"Myocardial infarction","BMR",230606,103594,127012
"47",1.57378045026477,2.6127093240488,2.2784836888195,2.99596176416268,"Myocardial infarction","BMR",230606,103594,127012
"48",1.6072068488125,2.61687906814279,2.28583291431539,2.99586903941966,"Myocardial infarction","BMR",230606,103594,127012
"49",1.64063324736023,2.6210829767915,2.29308933559497,2.99599141846939,"Myocardial infarction","BMR",230606,103594,127012
"50",1.67405964590797,2.62531809716631,2.30024818994509,2.99632671875875,"Myocardial infarction","BMR",230606,103594,127012
"51",1.7074860444557,2.62958171463021,2.30730491012279,2.99687308928302,"Myocardial infarction","BMR",230606,103594,127012
"52",1.74091244300343,2.63387132992029,2.31425512483329,2.99762895980443,"Myocardial infarction","BMR",230606,103594,127012
"53",1.77433884155116,2.63818463944834,2.32109465837029,2.99859299866211,"Myocardial infarction","BMR",230606,103594,127012
"54",1.8077652400989,2.64251951783781,2.32781953662717,2.99976406773846,"Myocardial infarction","BMR",230606,103594,127012
"55",1.84119163864663,2.64687400238859,2.33442599027976,3.0011411857529,"Myocardial infarction","BMR",230606,103594,127012
"56",1.87461803719436,2.65124627806948,2.34091046082555,3.00272348926083,"Myocardial infarction","BMR",230606,103594,127012
"57",1.9080444357421,2.6556346653591,2.3472696067242,3.00451020012954,"Myocardial infarction","BMR",230606,103594,127012
"58",1.94147083428983,2.66003760857697,2.35350031160642,3.00650059154408,"Myocardial infarction","BMR",230606,103594,127012
"59",1.97489723283756,2.66445366549951,2.35959969130798,3.00869395844788,"Myocardial infarction","BMR",230606,103594,127012
"60",2.0083236313853,2.66888149806754,2.36556510155726,3.01108958956071,"Myocardial infarction","BMR",230606,103594,127012
"61",2.04175002993303,2.67331986392655,2.37139414664398,3.01368673991974,"Myocardial infarction","BMR",230606,103594,127012
"62",2.07517642848076,2.67776760858987,2.37708468422337,3.01648460957367,"Myocardial infarction","BMR",230606,103594,127012
"63",2.10860282702849,2.68222365864548,2.38263483466459,3.01948231861989,"Myocardial infarction","BMR",230606,103594,127012
"64",2.14202922557623,2.68668701558358,2.38804298469451,3.02267889061001,"Myocardial infarction","BMR",230606,103594,127012
