endpoint_name,input_name,percentile,estimate,total_incidence,N_female,N_male,N_total
Myocardial infarction,Age + sex + biomarkers,54,0.005471884590105485,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,55,0.003967015377046934,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,56,0.003234178309048559,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,57,0.005754059288691199,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,58,0.004734532498739507,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,59,0.00549716513468648,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,60,0.004651737580970352,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,61,0.004881728801600896,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,62,0.005153967436399859,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,63,0.003583546577294465,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,64,0.006281263302569004,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,65,0.0038481549319729384,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,66,0.005907153128982323,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,67,0.00458751450929213,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,68,0.004415580162343535,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,69,0.005244362937951984,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,70,0.00776704591478864,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,71,0.0053434607924712045,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,72,0.006846515809621522,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,73,0.007577920636256384,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,74,0.009015304276295601,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,75,0.006919147936836645,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,76,0.005663025330550488,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,77,0.008014086819355998,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,78,0.008463111118645651,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,79,0.008951666480022291,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,80,0.010742003919392302,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,81,0.007778040163814577,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,82,0.009420122948735196,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,83,0.007730630719777542,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,84,0.006407663738201149,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,85,0.008279274454150436,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,86,0.009143485471249517,0.004893685587637094,283403,198275,481678
Myocardial infarction,Age + sex + biomarkers,87,0.010267268910617192,0.004893685587637094,283403,198275,481678
