cohort,endpoint_name,input_name,decile,predicted_risk,observed_risk,observed_risk_se,observed_risk_ci_lower,observed_risk_ci_upper,decile_n,decile_n_events,n,n_events,overall_predicted_risk,overall_observed_risk,follow_up_time,n_female,n_male,n_total
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,1,0.03884831121007556,0.06770480704129836,0.026015741307008348,0.016714891048451017,0.1186947230341457,2954,2,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,2,0.07055540297341122,0.16926201760325107,0.04111359178464415,0.08868085843026671,0.24984317677623544,2954,5,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,3,0.09986686868273938,0.06770480704129862,0.026015741307008903,0.01671489104845019,0.11869472303414705,2954,2,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,4,0.13344537164796944,0.2031144211238971,0.04503004653941503,0.11485715168448117,0.291371690563313,2954,6,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,5,0.17589507317410988,0.16926201760324985,0.04111359178464427,0.08868085843026526,0.24984317677623447,2954,5,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,6,0.23203646691545002,0.2709109380291264,0.051987357505769695,0.16901758966640978,0.37280428639184304,2953,8,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,7,0.3125552954438433,0.5756857433118852,0.07566805768490731,0.4273790754693676,0.7239924111544027,2953,17,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,8,0.43922471277737063,1.2529630883846952,0.11125120452029111,1.034914734288225,1.4710114424811653,2953,37,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,9,0.6775568155554382,1.7609210971893152,0.13154841997758265,1.503090931810104,2.0187512625685264,2953,52,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Type 2 diabetes,Age + sex + biomarkers,10,2.0833570936227983,6.603454114459837,0.248384526068444,6.116629389048637,7.090278839871037,2953,195,29535,329,0.4262795260089098,1.113932622312483,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,1,0.024356159202335963,0,0,0,0,3102,0,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,2,0.04463286072917594,0,0,0,0,3102,0,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,3,0.06898840316238497,0.03223726627981827,0.017954739285163702,-0.0029533760709090084,0.06742790863054555,3102,1,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,4,0.10286509424805272,0.19342359767891665,0.043944479145672385,0.10729400123402731,0.27955319412380597,3102,6,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,5,0.150447035612135,0.2256608639587374,0.04745779618166756,0.13264529265702651,0.3186764352604483,3102,7,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,6,0.2161758228896098,0.16118633139909597,0.04012211561040263,0.08254842981915454,0.23982423297903738,3102,5,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,7,0.3083474382225761,0.4835589941972952,0.06938125709541329,0.3475742290881711,0.6195437593064193,3102,15,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,8,0.44688715240448806,0.5157962604771136,0.07164504706910131,0.37537454855099806,0.6562179724032291,3102,16,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,9,0.7106279208272067,1.9019987105093512,0.13661714401079492,1.6342340285774712,2.169763392441231,3102,59,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
"THL Biobank, pooled",Myocardial infarction,Age + sex + biomarkers,10,1.7161328601814032,3.3849129593810265,0.18086987612784514,3.0304145162822294,3.7394114024798237,3102,105,31020,214,0.3789460747479369,0.6898774983881517,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,1,0.04168675975434832,0.02558417192563493,0.015993347714264295,-0.005762213586549079,0.05693055743781894,23452,6,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,2,0.06749822998455116,0.06822445846836199,0.026111457245961187,0.01704694268242065,0.11940197425430332,23452,16,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,3,0.09410274376780663,0.08101654443116801,0.02845247960083174,0.02525070914267724,0.1367823797196588,23452,19,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
UK Biobank,Ischemic stroke,Age + sex + biomarkers,4,0.1260594203591455,0.12365683097390939,0.03514387390748578,0.05477610383802034,0.19253755810979845,23452,29,234519,619,0.25930437293925335,0.26394449916635454,3,243663,171929,415592
